rank,name,year,director,rating
"
						1.
					","
						Vykoupení z věznice Shawshank
					",1994, Frank Darabont,"95,3%"
"
						2.
					","
						Forrest Gump
					",1994, Robert Zemeckis,"94,4%"
"
						3.
					","
						Zelená míle
					",1999, Frank Darabont,"92,9%"
"
						4.
					","
						Sedm
					",1995, David Fincher,"92,4%"
"
						5.
					","
						Přelet nad kukaččím hnízdem
					",1975, Miloš Forman,"92,4%"
"
						6.
					","
						Schindlerův seznam
					",1993, Steven Spielberg,"92,4%"
"
						7.
					","
						Kmotr
					",1972, Francis Ford Coppola,"91,8%"
"
						8.
					","
						Dvanáct rozhněvaných mužů
					",1957, Sidney Lumet,"91,5%"
"
						9.
					","
						Nedotknutelní
					",2011," Eric Toledano, Olivier Nakache","91,3%"
"
						10.
					","
						Pelíšky
					",1999, Jan Hřebejk,"91,2%"
"
						11.
					","
						Terminátor 2: Den zúčtování
					",1991, James Cameron,"91,0%"
"
						12.
					","
						Pulp Fiction: Historky z podsvětí
					",1994, Quentin Tarantino,"90,7%"
"
						13.
					","
						Kmotr II
					",1974, Francis Ford Coppola,"90,7%"
"
						14.
					","
						Pán prstenů: Společenstvo Prstenu
					",2001, Peter Jackson,"90,7%"
"
						15.
					","
						Pán prstenů: Návrat krále
					",2003, Peter Jackson,"90,6%"
"
						16.
					","
						Mlčení jehňátek
					",1991, Jonathan Demme,"90,5%"
"
						17.
					","
						Tenkrát na Západě
					",1968, Sergio Leone,"90,5%"
"
						18.
					","
						Temný rytíř
					",2008, Christopher Nolan,"90,5%"
"
						19.
					","
						Gran Torino
					",2008, Clint Eastwood,"90,3%"
"
						20.
					","
						Matrix
					",1999," Lilly Wachowski, Lana Wachowski","90,3%"
"
						21.
					","
						Hodný, zlý a ošklivý
					",1966, Sergio Leone,"90,0%"
"
						22.
					","
						Dobyvatelé ztracené archy
					",1981, Steven Spielberg,"89,9%"
"
						23.
					","
						Rain Man
					",1988, Barry Levinson,"89,8%"
"
						24.
					","
						Sedm statečných
					",1960, John Sturges,"89,9%"
"
						25.
					","
						Vyšší princip
					",1960, Jiří Krejčík,"89,8%"
"
						26.
					","
						Indiana Jones a Poslední křížová výprava
					",1989, Steven Spielberg,"89,7%"
"
						27.
					","
						Vetřelec
					",1979, Ridley Scott,"89,6%"
"
						28.
					","
						Rivalové
					",2013, Ron Howard,"89,6%"
"
						29.
					","
						Le Mans '66
					",2019, James Mangold,"89,7%"
"
						30.
					","
						Smrtonosná past
					",1988, John McTiernan,"89,5%"
"
						31.
					","
						Vetřelci
					",1986, James Cameron,"89,6%"
"
						32.
					","
						Podraz
					",1973, George Roy Hill,"89,5%"
"
						33.
					","
						Zachraňte vojína Ryana
					",1998, Steven Spielberg,"89,3%"
"
						34.
					","
						S čerty nejsou žerty
					",1984, Hynek Bočan,"89,2%"
"
						35.
					","
						Leon
					",1994, Luc Besson,"89,2%"
"
						36.
					","
						„Marečku, podejte mi pero!“
					",1976, Oldřich Lipský,"89,1%"
"
						37.
					","
						Amadeus
					",1984, Miloš Forman,"89,1%"
"
						38.
					","
						Obecná škola
					",1991, Jan Svěrák,"89,0%"
"
						39.
					","
						Star Wars: Epizoda V - Impérium vrací úder
					",1980, Irvin Kershner,"89,0%"
"
						40.
					","
						Cesta do hlubin študákovy duše
					",1939, Martin Frič,"89,0%"
"
						41.
					","
						L. A. - Přísně tajné
					",1997, Curtis Hanson,"88,9%"
"
						42.
					","
						Butch Cassidy a Sundance Kid
					",1969, George Roy Hill,"89,0%"
"
						43.
					","
						Návrat do budoucnosti
					",1985, Robert Zemeckis,"88,8%"
"
						44.
					","
						Pán prstenů: Dvě věže
					",2002, Peter Jackson,"88,7%"
"
						45.
					","
						Město bohů
					",2002," Fernando Meirelles, Kátia Lund","88,7%"
"
						46.
					","
						Počátek
					",2010, Christopher Nolan,"88,6%"
"
						47.
					","
						Čistá duše
					",2001, Ron Howard,"88,6%"
"
						48.
					","
						Gladiátor
					",2000, Ridley Scott,"88,5%"
"
						49.
					","
						Spalovač mrtvol
					",1968, Juraj Herz,"88,5%"
"
						50.
					","
						Tanec s vlky
					",1990, Kevin Costner,"88,5%"
"
						51.
					","
						Pianista
					",2002, Roman Polański,"88,4%"
"
						52.
					","
						Vesničko má středisková
					",1985, Jiří Menzel,"88,4%"
"
						53.
					","
						Šestý smysl
					",1999, M. Night Shyamalan,"88,2%"
"
						54.
					","
						Casino
					",1995, Martin Scorsese,"88,3%"
"
						55.
					","
						Nespoutaný Django
					",2012, Quentin Tarantino,"88,1%"
"
						56.
					","
						Kult hákového kříže
					",1998, Tony Kaye,"88,1%"
"
						57.
					","
						Nelítostný souboj
					",1995, Michael Mann,"88,1%"
"
						58.
					","
						Prokletý ostrov
					",2010, Martin Scorsese,"88,1%"
"
						59.
					","
						Klub rváčů
					",1999, David Fincher,"88,1%"
"
						60.
					","
						Statečné srdce
					",1995, Mel Gibson,"88,0%"
"
						61.
					","
						Dobrý Will Hunting
					",1997, Gus Van Sant,"88,0%"
"
						62.
					","
						Spider-Man: Napříč paralelními světy
					",2023," Joaquim Dos Santos, Kemp Powers","88,2%"
"
						63.
					","
						Million Dollar Baby
					",2004, Clint Eastwood,"88,0%"
"
						64.
					","
						Život je krásný
					",1997, Roberto Benigni,"87,9%"
"
						65.
					","
						Dokonalý trik
					",2006, Christopher Nolan,"87,8%"
"
						66.
					","
						Četa
					",1986, Oliver Stone,"87,8%"
"
						67.
					","
						Psycho
					",1960, Alfred Hitchcock,"87,9%"
"
						68.
					","
						12 úkolů pro Asterixe
					",1976," René Goscinny, Albert Uderzo","87,8%"
"
						69.
					","
						Star Wars: Epizoda IV - Nová naděje
					",1977, George Lucas,"87,7%"
"
						70.
					","
						Osvícení
					",1980, Stanley Kubrick,"87,8%"
"
						71.
					","
						Smrtonosná zbraň
					",1987, Richard Donner,"87,8%"
"
						72.
					","
						Prázdniny v Římě
					",1953, William Wyler,"87,7%"
"
						73.
					","
						Klaus
					",2019, Sergio Pablos,"87,8%"
"
						74.
					","
						Někdo to rád horké
					",1959, Billy Wilder,"87,7%"
"
						75.
					","
						Kladivo na čarodějnice
					",1969, Otakar Vávra,"87,6%"
"
						76.
					","
						Hon
					",2012, Thomas Vinterberg,"87,7%"
"
						77.
					","
						Motýlek
					",1973, Franklin J. Schaffner,"87,6%"
"
						78.
					","
						Shrek
					",2001," Vicky Jenson, Andrew Adamson","87,5%"
"
						79.
					","
						Na samotě u lesa
					",1976, Jiří Menzel,"87,6%"
"
						80.
					","
						Requiem za sen
					",2000, Darren Aronofsky,"87,5%"
"
						81.
					","
						Warrior
					",2011, Gavin O'Connor,"87,5%"
"
						82.
					","
						Mafiáni
					",1990, Martin Scorsese,"87,5%"
"
						83.
					","
						U pokladny stál...
					",1939, Karel Lamač,"87,6%"
"
						84.
					","
						Tenkrát v Americe
					",1984, Sergio Leone,"87,6%"
"
						85.
					","
						Star Wars: Epizoda III - Pomsta Sithů
					",2005, George Lucas,"87,4%"
"
						86.
					","
						Podfu(c)k
					",2000, Guy Ritchie,"87,4%"
"
						87.
					","
						Cesta do pravěku
					",1955, Karel Zeman,"87,4%"
"
						88.
					","
						Bohemian Rhapsody
					",2018," Bryan Singer, Dexter Fletcher","87,4%"
"
						89.
					","
						Obvyklí podezřelí
					",1995, Bryan Singer,"87,5%"
"
						90.
					","
						Coco
					",2017," Lee Unkrich, Adrian Molina","87,5%"
"
						91.
					","
						Americká krása
					",1999, Sam Mendes,"87,3%"
"
						92.
					","
						Star Wars: Epizoda VI - Návrat Jediů
					",1983, Richard Marquand,"87,2%"
"
						93.
					","
						Byl jednou jeden král...
					",1954, Bořivoj Zeman,"87,2%"
"
						94.
					","
						Bourneovo ultimátum
					",2007, Paul Greengrass,"87,3%"
"
						95.
					","
						Terminátor
					",1984, James Cameron,"87,1%"
"
						96.
					","
						Uprchlík
					",1993, Andrew Davis,"87,1%"
"
						97.
					","
						Čas probuzení
					",1990, Penny Marshall,"87,1%"
"
						98.
					","
						25 let neviny
					",2020, Jan Holoubek,"87,6%"
"
						99.
					","
						Chyť mě, když to dokážeš
					",2002, Steven Spielberg,"87,0%"
